"success","message","source","destination","amount"
"true","","acc_rMCLCGY9ini6f","acc_inq4acgWiNrWw","6.63"
"true","","acc_6x8bnaYqwgtQz","acc_n4CXzzp7zKWQf","3.64"
"false","Field "destination" is required. Verify your request and try again.","","",""
"true","","acc_rMCLCGY9ini6f","acc_zAc3fKdRftQrn","7.53"
"true","","acc_6x8bnaYqwgtQz","acc_zhVNiCBFph6aG","5.45"
"true","","acc_rMCLCGY9ini6f","acc_CKDLxnkW9qqPj","2.94"
"true","","acc_t3AW6UXUVmmcf","acc_jhNXjrk398GBz","8.41"
"true","","acc_rMCLCGY9ini6f","acc_dF9DjafcwKCFB","10.23"
"true","","acc_FEyye7XjRhzDW","acc_Hnbe3Hf3gKwdC","2.14"
"true","","acc_6x8bnaYqwgtQz","acc_NyMBpNteB7m9V","2.86"
"true","","acc_rMCLCGY9ini6f","acc_iHEzgGJxxwfpA","3.08"
"true","","acc_R63rTqGaHYhT8","acc_NhW4frdcXKqTK","4.65"
"true","","acc_rMCLCGY9ini6f","acc_AQBtfiqCG4njQ","7.96"
"true","","acc_rMCLCGY9ini6f","acc_Xd3BAYcT4JVqd","1.59"
"false","Field "destination" is required. Verify your request and try again.","","",""
"true","","acc_R63rTqGaHYhT8","acc_wq4ddT8bYKWNr","7.29"
"true","","acc_FEyye7XjRhzDW","acc_nxWPACMFDxjje","5.14"
"true","","acc_6x8bnaYqwgtQz","acc_LaFiQXzVkXRzT","4.53"
"true","","acc_t3AW6UXUVmmcf","acc_BP7hgXzimiiAp","7.93"
"true","","acc_6x8bnaYqwgtQz","acc_9ejw8GYJhhxtN","4.11"
"true","","acc_t3AW6UXUVmmcf","acc_fnbLceiCayQPx","4.52"
"true","","acc_t3AW6UXUVmmcf","acc_exiqt8eyKxRaK","2.56"
"true","","acc_6x8bnaYqwgtQz","acc_GcmY4ciFi9QtL","8.04"
"true","","acc_R63rTqGaHYhT8","acc_YJ8ipeH3wPqBz","5.39"
"false","Field "destination" is required. Verify your request and try again.","","",""
"true","","acc_R63rTqGaHYhT8","acc_qmQEd8mp8QqYN","3.52"
"true","","acc_6x8bnaYqwgtQz","acc_w7VXpBptqbp34","1.92"
"true","","acc_rMCLCGY9ini6f","acc_jxRwQmcTphrPr","10.25"
"true","","acc_rMCLCGY9ini6f","acc_bKzw8nRW6MM3J","4.38"
"false","Field "destination" is required. Verify your request and try again.","","",""
"true","","acc_R63rTqGaHYhT8","acc_HJWQRrBpQiL8p","3.95"
"true","","acc_rMCLCGY9ini6f","acc_aC3NmPmLEKiKa","4.71"
"true","","acc_R63rTqGaHYhT8","acc_3p9TBnzNY6Rhb","3.35"
"true","","acc_R63rTqGaHYhT8","acc_yHkhaiH7kxiqm","9.98"
"true","","acc_t3AW6UXUVmmcf","acc_k4d3fDhMEpNc7","5.19"
"true","","acc_R63rTqGaHYhT8","acc_z9XbXifaJz9Mh","2.68"
"true","","acc_t3AW6UXUVmmcf","acc_f3jTWmnKjyWdC","7.32"
"false","Field "destination" is required. Verify your request and try again.","","",""
"true","","acc_R63rTqGaHYhT8","acc_bPK3HKKVfiyrw","7.80"
"true","","acc_t3AW6UXUVmmcf","acc_MCJnNqNDgtxDp","3.26"
"true","","acc_6x8bnaYqwgtQz","acc_QcVbTPxWmaCac","3.11"
"true","","acc_FEyye7XjRhzDW","acc_tFgLMedyVxVQw","10.97"
"true","","acc_rMCLCGY9ini6f","acc_Dn9HwiHGbc8Vt","10.84"
"true","","acc_rMCLCGY9ini6f","acc_hzT4U7Mem9EeE","2.64"
"true","","acc_rMCLCGY9ini6f","acc_RmET9qh4aJEhB","10.09"
"true","","acc_t3AW6UXUVmmcf","acc_KUayTHheF6NB6","4.62"
"true","","acc_t3AW6UXUVmmcf","acc_CM3PDnVDnNkLR","9.18"
"true","","acc_R63rTqGaHYhT8","acc_PGkFwtfdGWrPV","5.35"
"true","","acc_6x8bnaYqwgtQz","acc_8ALgQr4pBWL97","1.58"
"true","","acc_6x8bnaYqwgtQz","acc_byqGEjctJ99jf","7.93"
"true","","acc_rMCLCGY9ini6f","acc_qHBbnrG6pmcjQ","2.65"
"true","","acc_R63rTqGaHYhT8","acc_8meCyCjjfHC3Y","2.99"
"true","","acc_t3AW6UXUVmmcf","acc_if63tmHEK3jwU","7.49"
"true","","acc_FEyye7XjRhzDW","acc_JTjFXN6LxaMtx","6.51"
"true","","acc_R63rTqGaHYhT8","acc_RLMGgiNmWU4g8","2.20"
"true","","acc_R63rTqGaHYhT8","acc_cKkKRxatAdE6Q","6.87"
"true","","acc_R63rTqGaHYhT8","acc_pN8CRBe3qWaz6","1.89"
"true","","acc_rMCLCGY9ini6f","acc_zU7jHKRyRPVgr","2.18"
"true","","acc_R63rTqGaHYhT8","acc_8MMpWh6BbVita","6.68"
"true","","acc_6x8bnaYqwgtQz","acc_8Gjge4J7W9tw6","5.19"
"true","","acc_6x8bnaYqwgtQz","acc_w8eXwmnPazQwP","5.17"
"true","","acc_FEyye7XjRhzDW","acc_mCbbxLPbyhJHx","8.99"
"true","","acc_R63rTqGaHYhT8","acc_RrQPwfwTxADK6","4.71"
"true","","acc_R63rTqGaHYhT8","acc_yhq6zXX8DVPt3","7.25"
"true","","acc_6x8bnaYqwgtQz","acc_3hzNYUJrJzDhq","10.85"
"true","","acc_t3AW6UXUVmmcf","acc_yxxUbr7JTJUAy","2.87"
"true","","acc_t3AW6UXUVmmcf","acc_e7zPXGjcfcQcV","5.41"
"true","","acc_R63rTqGaHYhT8","acc_PfAaT9yiVBazX","2.82"
"true","","acc_rMCLCGY9ini6f","acc_W67r8AaWtfnrj","7.59"
"true","","acc_6x8bnaYqwgtQz","acc_KeYizRzfURfnp","8.08"
"false","Field "destination" is required. Verify your request and try again.","","",""
"true","","acc_FEyye7XjRhzDW","acc_PPCJWBpfTwX8z","10.26"
"true","","acc_rMCLCGY9ini6f","acc_eNeJKmDqmHqj3","1.79"
"true","","acc_t3AW6UXUVmmcf","acc_tXtTejk8dTgwq","6.15"
"true","","acc_6x8bnaYqwgtQz","acc_KGaqNKqDVjf3n","1.34"
"true","","acc_rMCLCGY9ini6f","acc_iKcMrbyTbknzW","9.93"
"true","","acc_6x8bnaYqwgtQz","acc_pdzHWihzdGtCA","7.08"
"true","","acc_R63rTqGaHYhT8","acc_9AzdYMBPXTa6R","8.89"
"true","","acc_t3AW6UXUVmmcf","acc_rXdfnqzMX3xCj","4.59"
"true","","acc_R63rTqGaHYhT8","acc_wrLnnxYkTpzhR","2.58"
"true","","acc_rMCLCGY9ini6f","acc_cM88yHbFCggh6","9.75"
"true","","acc_rMCLCGY9ini6f","acc_6MPec99FxXpqd","5.92"
"true","","acc_FEyye7XjRhzDW","acc_WAyMihNcnaDXW","2.01"
"true","","acc_FEyye7XjRhzDW","acc_mn89KQtMcNeyp","3.85"
"true","","acc_6x8bnaYqwgtQz","acc_JRiwmFiVcxWWA","4.13"
"true","","acc_6x8bnaYqwgtQz","acc_VVBfwFbQzH4JJ","9.38"
"false","Field "destination" is required. Verify your request and try again.","","",""
"true","","acc_rMCLCGY9ini6f","acc_QmCCLQmDTKAek","3.94"
"true","","acc_R63rTqGaHYhT8","acc_gCDGhVhDBmLTF","2.78"
"true","","acc_6x8bnaYqwgtQz","acc_EXAPcPBaWphnU","5.75"
"true","","acc_FEyye7XjRhzDW","acc_hb4CaaLCyTge6","5.40"
"true","","acc_R63rTqGaHYhT8","acc_rpYRYipagmDBn","4.04"
"true","","acc_FEyye7XjRhzDW","acc_gUmB4A6g3QLtA","9.85"
"true","","acc_rMCLCGY9ini6f","acc_r3qhLNFwr7w6k","7.38"
"true","","acc_6x8bnaYqwgtQz","acc_hfirbMR6QPtTQ","2.48"
"true","","acc_rMCLCGY9ini6f","acc_W93YRPLttYeQQ","6.03"
"false","Field "destination" is required. Verify your request and try again.","","",""
"true","","acc_t3AW6UXUVmmcf","acc_peXgUArLanHEt","1.73"
"false","Field "destination" is required. Verify your request and try again.","","",""
"true","","acc_FEyye7XjRhzDW","acc_rUDm3ap4q7yhg","2.89"
"true","","acc_R63rTqGaHYhT8","acc_WEtcpJcKKgntn","2.56"
"true","","acc_FEyye7XjRhzDW","acc_KkbaLbd6TFc6R","6.11"
"true","","acc_rMCLCGY9ini6f","acc_EVLAKkTPTr68X","4.47"
"true","","acc_FEyye7XjRhzDW","acc_LaynVCRR896ce","4.45"
"true","","acc_R63rTqGaHYhT8","acc_kxKhrqja6DwKN","1.16"
"true","","acc_R63rTqGaHYhT8","acc_rMVyMTEeRipHF","8.08"
"true","","acc_FEyye7XjRhzDW","acc_drkDrdMFbbXrw","9.12"
"true","","acc_R63rTqGaHYhT8","acc_C7RUeVQmtqnRB","2.92"
"true","","acc_6x8bnaYqwgtQz","acc_gdE7AFFJFHrjF","3.45"
"true","","acc_t3AW6UXUVmmcf","acc_iLQ9iQemrnC3T","5.70"
"true","","acc_t3AW6UXUVmmcf","acc_WpFXAG9ECtn4J","10.87"
"true","","acc_t3AW6UXUVmmcf","acc_3zRaUKPGyi9Lc","8.87"
"true","","acc_6x8bnaYqwgtQz","acc_e89KBKMqEzaPA","5.55"
"true","","acc_t3AW6UXUVmmcf","acc_4btAFqmmqpnDp","6.76"
"true","","acc_rMCLCGY9ini6f","acc_amDtTVWAbVrGN","6.88"
"true","","acc_t3AW6UXUVmmcf","acc_A3TMGC3MX4hxM","9.51"
"true","","acc_t3AW6UXUVmmcf","acc_PrnxCgiMrR46c","7.86"
"true","","acc_FEyye7XjRhzDW","acc_i4Gc4j6ipbzVt","3.36"
"true","","acc_R63rTqGaHYhT8","acc_CqzYCCcAGigGg","10.43"
"true","","acc_rMCLCGY9ini6f","acc_YXfkn3aiqtGcb","1.84"
"true","","acc_FEyye7XjRhzDW","acc_xr7YFn9dznF9T","10.63"
"true","","acc_R63rTqGaHYhT8","acc_48yEBzNDbiXhA","3.99"
"true","","acc_rMCLCGY9ini6f","acc_TLwYgdTB39364","3.91"
"true","","acc_t3AW6UXUVmmcf","acc_VTXUMe3ELp4UQ","8.39"
"true","","acc_6x8bnaYqwgtQz","acc_6EbQKFcFxMyDz","5.48"
"true","","acc_FEyye7XjRhzDW","acc_qmFbpicFfQtaD","5.41"
"true","","acc_FEyye7XjRhzDW","acc_AWgJ33mRaPVwz","1.09"
"true","","acc_6x8bnaYqwgtQz","acc_QAAcmrbrDxpBX","9.88"
"true","","acc_t3AW6UXUVmmcf","acc_dkcz4kYN9BnK9","1.67"
"true","","acc_t3AW6UXUVmmcf","acc_xfFGfDhpHrkpL","1.06"
"true","","acc_FEyye7XjRhzDW","acc_c9g7W8DphJegP","2.07"
"true","","acc_R63rTqGaHYhT8","acc_q4bAADXPwByei","9.30"
"true","","acc_R63rTqGaHYhT8","acc_8JURkWAcWC4gK","9.63"
"true","","acc_6x8bnaYqwgtQz","acc_URjW6CAaqy3NK","6.20"
"true","","acc_rMCLCGY9ini6f","acc_6zLD3ATRP6VB4","10.23"
"true","","acc_t3AW6UXUVmmcf","acc_VArLmkaXUXxar","5.90"
